,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
20,225,625,-0.11659216713225179,-0.11736422984992632,-0.11849661835029818,-0.11663130731385259,-0.11768955286379296,-0.11853966330516778,0.0008764366185598876,0.0009272555921044975,0.0009701711513379075,0.0009622894495259376,0.0009970940091159682,0.0009561136908317153,0.009603591100306771,0.009689647061461568,0.007177133096241722,0.018323158995937984,0.0018155170062229488,0.007022661485425436,0.002010017642044794,0.004526674358660041,-0.008187331966469287,-0.008065770259278552,0.18904563795567628,0.28005857145067187,116309652.0,112438180.0,1662074.0,116305090.0,112637570.0,1685155.0,-0.11455235119663267,-0.11480167912953997,0.00017478705277450916,0.00017534465513623643,-0.00010868112303833443,-0.00010729957511137743
21,250,625,-0.11653912884679257,-0.11691281258544907,-0.11801526400651424,-0.11657723260871732,-0.11741080998629369,-0.11803294569089359,0.0010258033159354074,0.0010536899301138941,0.0011010709812900757,0.0011262941153740752,0.0011573593745024978,0.0010797648012412695,0.009367741198537954,0.007763965861068513,0.005251838834609873,0.017443095188849365,0.0021264638889247358,0.007288868059135315,0.002061084894113433,0.004738450865827921,-0.009329903132100763,-0.00914799503580105,0.22699857349353525,0.3924501415639001,106180589.0,102438013.0,1536196.0,106180500.0,102629222.0,1559008.0,-0.11385554800885252,-0.11408525469954146,0.00018228583967115416,0.0001828812962191374,-0.000122824235248085,-0.00012063738106259728
22,275,625,-0.11629543010766476,-0.11689862635094146,-0.11783225796659476,-0.1169161478447557,-0.11799082246435573,-0.11837219212693946,0.0012096398311820984,0.0012532814944468589,0.001305113910724143,0.0013221792661955271,0.0013323320099984316,0.001268193866022199,0.00794510170212067,0.0051972766436551195,0.0032163366770719274,0.017160913927929556,0.0023791696387043745,0.008215805731570405,0.0021165328990322427,0.005339220771945701,-0.01107603243157863,-0.010713613081205919,0.2994511244669577,0.658057010673112,96062518.0,92486908.0,1404775.0,96064935.0,92664444.0,1425804.0,-0.11344634128775093,-0.11418207245447073,0.00019096050511073888,0.00019159076903634513,-0.0001454090182655192,-0.0001421204386640137
23,300,625,-0.11634305788488097,-0.11717313619294759,-0.1181971713087994,-0.11689237525679974,-0.11837785540847949,-0.11854899109693313,0.0014583927731689136,0.0015044692027078425,0.001560754813775958,0.001594369292998091,0.0015918962953162025,0.001527659644684748,0.008692783235059016,0.0014655593606170557,0.0014422933191471754,0.01739939668944175,0.0028331942267884225,0.009682159305381749,0.0023155628172667666,0.006266551427484693,-0.013204671452740296,-0.012886315020898298,0.3259248678100953,1.6054728858038068,86068701.0,82686247.0,1269462.0,86066207.0,82850419.0,1288067.0,-0.11355208557801635,-0.11411951248656954,0.00020098249927173072,0.00020169350965096972,-0.000174419123842975,-0.00017150120088569418
24,50,650,-0.11756635018336915,-0.11820178896765869,-0.12015685603551761,-0.11679856268786347,-0.11737498200531234,-0.11928013809124441,0.0005400665388855113,0.0005637987519478442,0.0005887405655144351,0.0005420690369677672,0.000604628475399707,0.0005269687077799164,0.016388035768466012,0.013500323574619213,0.015975149367420765,0.020127469788531076,0.0022554964425663196,0.004015767776633408,0.002696483755253106,0.0031256109176959618,-0.004899766729419145,-0.004417908263794992,0.13763067608787893,0.16879239706842636,178897147.0,175270544.0,2072744.0,178894001.0,175623395.0,2104876.0,-0.11772103622577533,-0.11709941468441507,0.0001442675448013207,0.0001447815633996094,-6.722426222940561e-05,-5.9647811154920746e-05
25,75,650,-0.11752245753321844,-0.11826579184572582,-0.11998846559865452,-0.11712799607618003,-0.11775001743938114,-0.11940685202541207,0.0005701438724469167,0.0005951423064303059,0.0006077479227215482,0.0004983507140256231,0.0005585206744300543,0.0005484288148751776,0.014478695512756693,0.012758570048900925,0.013958602540474136,0.019722916054302708,0.0017361715621292484,0.004072596411611,0.002221079104093345,0.0031337392351048015,-0.005065052875618764,-0.004592942578860227,0.11991215372956535,0.15911901622337482,172460092.0,168564945.0,2072744.0,172454683.0,168871536.0,2104876.0,-0.1172784316053339,-0.11692589705120415,0.00014632900139306774,0.00014680506516070419,-6.916899062483805e-05,-6.203238507056748e-05
26,100,650,-0.1175858851389704,-0.11845021889781225,-0.1199574253073181,-0.1171499007059058,-0.11792797107131138,-0.1193623524224473,0.0006107544031271607,0.0006262745959444,0.0006537742527393915,0.0005351800351971918,0.0005869960029387056,0.0005894462712761547,0.012694497766188053,0.011928507911391583,0.012106410769557284,0.019412314167230424,0.0013054442495958926,0.004182155478007765,0.0019463525201410378,0.0032775779904030905,-0.005450052392042358,-0.0049382930154558795,0.1028354389153511,0.16077040149961916,164963736.0,160886708.0,2072744.0,164961421.0,161172521.0,2104876.0,-0.11699271443422145,-0.11662079009622674,0.0001490475000967896,0.00014951549270569934,-7.4342063139991e-05,-6.661148715438617e-05
27,125,650,-0.11761807474368935,-0.11841548866944901,-0.11982640596000814,-0.11700832606279649,-0.11790878070873763,-0.11911723484801987,0.0006654239115003443,0.0006834836837651142,0.0007084926688490426,0.0005754196227860882,0.000640878392911315,0.000622387034614975,0.011887492055951165,0.011064756196373355,0.010213128385917463,0.019068595830799635,0.001317671983138113,0.004271220419652749,0.0016986432015320446,0.003430999561087348,-0.005912658926660128,-0.005224995655826552,0.11084524615757406,0.16631957783613552,156637516.0,152459894.0,2050622.0,156636579.0,152727147.0,2081834.0,-0.11663055963594193,-0.1161442336969518,0.00015242166992417093,0.00015289117135687554,-8.044337010413896e-05,-7.011730526612151e-05
28,150,650,-0.11767596062690518,-0.11873835093118039,-0.12003759688634973,-0.11689308858757297,-0.11807554908126111,-0.11910017170537421,0.0007344369940259197,0.0007284180754527365,0.0007727654912808106,0.0006316162237966911,0.0007015014417817297,0.0006888542143269703,0.010939783970484323,0.010458484816381518,0.008666912466087699,0.019707729620756537,0.0013209757073752318,0.004866923484012329,0.0015958994762942807,0.0037818408950999333,-0.006437695449805251,-0.005783822176436768,0.12074970684423396,0.1841370248677128,147662896.0,143448278.0,1992319.0,147661807.0,143700367.0,2022049.0,-0.11661146459300806,-0.11590497726893786,0.00015645794105107822,0.00015694154195567832,-8.785890939335508e-05,-7.761543968048298e-05
29,175,650,-0.11800379762361636,-0.11873921824189415,-0.11994965900560726,-0.1169778770894122,-0.1179940153423113,-0.11899549734365394,0.0007971485335873627,0.0008168405897736693,0.0008649093782322023,0.0007052283155338482,0.0007850920788733119,0.0007698427107830262,0.010196055284380744,0.009475072802763058,0.008473583657195591,0.019246430363943773,0.0014083581816001708,0.0049015473052128646,0.0017863159757926148,0.003953722848453211,-0.007210603059669978,-0.0064695112669662875,0.13812775061720425,0.21080997698957188,138200074.0,134000088.0,1908446.0,138199947.0,134235103.0,1936650.0,-0.11630431444140446,-0.11558161337400233,0.00016118818246091225,0.00016168303345618965,-9.827352950292837e-05,-8.66902423812131e-05
