,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,withoutdead_asymmetry_thrown_beta,withoutdead_asymmetry_type0_beta,withoutdead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,err_withoutdead_asymmetry_thrown_beta,err_withoutdead_asymmetry_type0_beta,err_withoutdead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,withoutdead_correction_misbs,withoutdead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,err_withoutdead_correction_misbs,err_withoutdead_correction_misbs_thrown,dead_precision_type0_corrected_asymmetry,withoutdead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,withoutdead_precision_type0_correction,dead_KE;1,dead_EdepType0;1,dead_EdepType1;1,withoutdead_KE;1,withoutdead_EdepType0;1,withoutdead_EdepType1;1,dead_weighted_corrected_asymmetry_type0,withoutdead_weighted_corrected_asymmetry_type0,dead_err_weight,withoutdead_err_weight,dead_err_weight_asymmetry,withoutdead_err_weight_asymmetry,err_dead_weighted_corrected_asymmetry_type0,err_withoutdead_weighted_corrected_asymmetry_type0
20,275,625,-0.11629543010766476,-0.11717459828677261,-0.11798836272379329,-0.1169161478447557,-0.11837622784637812,-0.11862498845897809,0.0012096398311820984,0.0012576716471092092,0.0013026760762209094,0.0013221792661955271,0.00135754983495054,0.0012788408417354715,0.006915035152840407,0.007353813376984816,0.00209250852556713,0.019453632741125968,0.0022817884596449977,0.007958222152616289,0.0021122286364008667,0.005620890637772158,-0.011040716610929074,-0.010780535014995677,0.3299749616902142,1.009424148381136,96062518.0,92306585.0,1621963.0,96064935.0,92458862.0,1670002.0,-0.11337515463392972,-0.11417205911480863,0.00019031032764198373,0.00019084852349930597,-0.0001450417432193545,-0.0001433222931549926,-0.0001450417432193545,-0.0001433222931549926
21,300,625,-0.11634305788488097,-0.11744102157722203,-0.11831053322407194,-0.11689237525679974,-0.11875269171167814,-0.11881675471602138,0.0014583927731689136,0.0015101879214622078,0.0015610362816402678,0.001594369292998091,0.0016233106935288517,0.0015397604814482188,0.007373925023454783,0.004272992550956056,0.0005334908243594739,0.019947504985853074,0.0027374255208697466,0.009365314234342727,0.0023660283314756157,0.006622674754087467,-0.013194398157971052,-0.012959119150563669,0.37123045218965706,4.4349934871257535,86068701.0,82534997.0,1452643.0,86066207.0,82676971.0,1494885.0,-0.113453083307452,-0.11413782164201348,0.00020034051430109867,0.00020095618758844493,-0.00017430013654369408,-0.00017290792405977467,-0.00017430013654369408,-0.00017290792405977467
22,50,650,-0.11756635018336915,-0.11907402056935593,-0.12036466291733432,-0.11679856268786347,-0.11833162479610954,-0.11954178038690395,0.0005400665388855113,0.0005655045473822573,0.0005924264767537015,0.0005420690369677672,0.0005526646415743626,0.0005357852834305016,0.010828510342939551,0.015319867365133303,0.010187307479372305,0.023768919185444524,0.0012487312529311134,0.0039016329474653223,0.0016004492193281662,0.003321089246940644,-0.004921930260882101,-0.0044819918332854106,0.11531884011592751,0.1571022787492008,178897147.0,174432207.0,3009501.0,178894001.0,174710919.0,3126117.0,-0.11736058483639028,-0.1167465325474618,0.00014306311109112745,0.00014346870523219887,-6.745486920551988e-05,-6.0500872193593756e-05,-6.745486920551988e-05,-6.0500872193593756e-05
23,75,650,-0.11752245753321844,-0.11903523327509932,-0.12021879964606352,-0.11712799607618003,-0.11856439246228256,-0.11968060563527816,0.0005701438724469167,0.0005981379955953921,0.0006152800446370459,0.0004983507140256231,0.0005514595252771716,0.0005553670125134349,0.009939328228040407,0.014510588874626121,0.009403650372106,0.02332668750378669,0.0010857592639273506,0.003967547046696681,0.0015487103870261466,0.0033477134380957246,-0.005118001896945348,-0.004640409442828971,0.1092386969236264,0.1646924678973687,172460092.0,167877519.0,2907143.0,172454683.0,168120710.0,3010839.0,-0.117024371190404,-0.11667290236840344,0.00014528721798128753,0.00014566566047122462,-6.99029881252978e-05,-6.270984680893127e-05,-6.99029881252978e-05,-6.270984680893127e-05
24,100,650,-0.1175858851389704,-0.11906691623292598,-0.12017965395387693,-0.1171499007059058,-0.11861072120305585,-0.11962156651243676,0.0006107544031271607,0.0006431009707869006,0.0006613406046179261,0.0005351800351971918,0.0005923294588325589,0.0005959393484108026,0.009346749272129614,0.013640264687136095,0.008520870878092944,0.02302844882115486,0.0010824634484075566,0.004062572454237906,0.0015321795540612988,0.0035019447170760824,-0.005502933174293697,-0.004981872130464402,0.1158117562471987,0.17981490108018347,164963736.0,160315274.0,2781831.0,164961421.0,160545935.0,2875274.0,-0.11679314872476557,-0.1164196824050385,0.00014812319572520577,0.00014850066886533696,-7.510068617340277e-05,-6.725412620617256e-05,-7.510068617340277e-05,-6.725412620617256e-05
25,125,650,-0.11761807474368935,-0.11894516402183254,-0.12000045090307881,-0.11700832606279649,-0.11850974678796822,-0.11936806649708437,0.0006654239115003443,0.0006972107846133983,0.0007117915033650828,0.0005754196227860882,0.0006430127468112693,0.00062782812506078,0.00887002510637112,0.012750187902968772,0.007242874595034235,0.02271914801606236,0.001138029250816872,0.00411410584420841,0.0014361538695800951,0.0036744060932816422,-0.005931573573335803,-0.005259598680658156,0.12830056704117485,0.19828506634157825,156637516.0,151979435.0,2640146.0,156636579.0,152197209.0,2724850.0,-0.11643188167000272,-0.11598495498668066,0.00015158292666093498,0.00015196488399990505,-8.069241354575838e-05,-7.065330941765044e-05,-8.069241354575838e-05,-7.065330941765044e-05
26,150,650,-0.11767596062690518,-0.11921219227783508,-0.1202151194736914,-0.11689308858757297,-0.11858189905867061,-0.11934775563021198,0.0007344369940259197,0.0007527107265982964,0.0007758111501269016,0.0006316162237966911,0.0007100934047018392,0.0006946282938191991,0.008420756442035698,0.012336110626284461,0.006464004577596576,0.023526023110852636,0.0012233799746299233,0.004693308464138856,0.001508721997594574,0.004024693519874693,-0.006453523928799029,-0.005820204076324995,0.14528148190142573,0.23340360909143132,147662896.0,143040991.0,2487756.0,147661807.0,143248979.0,2564459.0,-0.11645234035434479,-0.11578108440708278,0.0001556822159600131,0.0001560807248327161,-8.809515532471231e-05,-7.820162094611239e-05,-8.809515532471231e-05,-7.820162094611239e-05
27,175,650,-0.11800379762361636,-0.1191486619205505,-0.12010064357583737,-0.1169778770894122,-0.11847678775887294,-0.11924863435497202,0.0007971485335873627,0.0008429935154463007,0.0008669695251437017,0.0007052283155338482,0.0007934883946278964,0.0007764126700777283,0.007996252771120567,0.011292454586360105,0.006519288174459875,0.023120359473746663,0.0013464628700845136,0.004704096494190739,0.0016921849488347183,0.0042315200764368776,-0.007218691751607935,-0.006510872634117979,0.168386731713563,0.2595659071283371,138200074.0,133653492.0,2327337.0,138199947.0,133848708.0,2397788.0,-0.1161495065867912,-0.11549407930798568,0.00016046011729495214,0.00016087034173940253,-9.83835794296609e-05,-8.738345214077062e-05,-9.83835794296609e-05,-8.738345214077062e-05
28,200,650,-0.11743419449958496,-0.11837649553513198,-0.11924868562589185,-0.11671895653870099,-0.11820239328224419,-0.11877084336787187,0.0008366570178530045,0.0008391024369083954,0.0008431257842519667,0.0007843295370174017,0.0008858884626844651,0.0008341581072891589,0.00734886826427797,0.010061003991160083,0.004806395944800341,0.022715167993216136,0.0014851080632546157,0.004842432141078439,0.0016319704380110967,0.004473980924548896,-0.007070315113552104,-0.007023256580788101,0.20208663563525292,0.3395414062332081,128393740.0,123954476.0,2162737.0,128394326.0,124141112.0,2227154.0,-0.11512561547351262,-0.11483641861919536,0.00016597092388300757,0.00016640624863882212,-9.470522696531848e-05,-9.344431765455717e-05,-9.470522696531848e-05,-9.344431765455717e-05
29,225,650,-0.11657834341912914,-0.11768280395933683,-0.11864237242930172,-0.11672416435183602,-0.11845081216310925,-0.11906235570185797,0.0008164123516857778,0.0008742901645773059,0.0009014315534932528,0.0009004739604041638,0.0010079488734602592,0.000943560821608141,0.008120807695899696,0.00981457633664341,0.005159092525205952,0.025757806887206847,0.001651763475883853,0.0059471585221572065,0.0018632416367306546,0.005088138176333398,-0.007597888806803914,-0.00792492989111433,0.20339891519877393,0.3611568560996633,118369061.0,114067770.0,1994815.0,118364949.0,114241317.0,2053522.0,-0.11433114984767792,-0.11491442724740002,0.00017230496780333584,0.00017277689014671125,-0.00010063633913310713,-0.00010597949305244974,-0.00010063633913310713,-0.00010597949305244974
30,250,650,-0.11652596239278648,-0.11720906836501353,-0.11820406269544337,-0.11669085885803655,-0.1182700403296538,-0.11867256293411294,0.0009487190888574878,0.0009797280415153996,0.0010179463294758611,0.0010467061295092153,0.0011687249688796244,0.0010746954071532914,0.008437911967409074,0.008071902525384833,0.0033917584059584786,0.025230594758151606,0.001916868655516471,0.006120636041477151,0.0019109085382285952,0.00540605694414591,-0.008611771086909534,-0.009055972000452732,0.22717334133376366,0.5633975977981223,108239998.0,104105001.0,1824127.0,108240359.0,104274235.0,1879018.0,-0.1136884173363824,-0.11432418397137782,0.00017957810243726414,0.0001800872331072985,-0.00011321960589001355,-0.0001203274750264773,-0.00011321960589001355,-0.0001203274750264773
31,275,650,-0.11629623134827424,-0.11722424130085018,-0.11804857808788692,-0.1170296237302538,-0.11889164196850278,-0.11908388762691599,0.0011094009082582197,0.0011556480325561713,0.001197334010173979,0.0012167847577100469,0.0013299423475852913,0.0012446755675436798,0.00700074846321853,0.0059976436522030975,0.001614398776907732,0.02579857847344499,0.0020965473840964,0.0068156727829197725,0.0019920603377735716,0.006036552985026621,-0.010142722848237667,-0.010452090474600457,0.2994747483232002,1.2339332550717266,98121927.0,94186759.0,1653777.0,98124794.0,94345977.0,1703585.0,-0.11331425415907788,-0.114497929270757,0.0001879582189101769,0.00018850142884730512,-0.0001330557248249003,-0.00013983964155810544,-0.0001330557248249003,-0.00013983964155810544
32,300,650,-0.11634039877271928,-0.11748169745535013,-0.1183599359404736,-0.11703231466790721,-0.11935339720857796,-0.11936213007142159,0.0013245621135481078,0.0013737702605840095,0.0014202075670132937,0.001453092613341805,0.0015671085778169887,0.0014794019979579988,0.007444100314882118,0.003304085370847834,6.30166718089397e-05,0.02733293789070661,0.0024902510014852062,0.00778240398911297,0.0021969245692856575,0.006916456333110758,-0.011999056570354636,-0.0123942325515872,0.33452679251335976,34.86259280633726,88128110.0,84415171.0,1484457.0,88126066.0,84564086.0,1528468.0,-0.11337329521720282,-0.11453761515353336,0.0001975984335308647,0.00019821826209698046,-0.00015824544060096562,-0.0001666230980671108,-0.00015824544060096562,-0.0001666230980671108
