,eLower,eUpper,dead_asymmetry_thrown_beta,dead_asymmetry_type0_beta,dead_corrected_asymmetry_type0_beta,err_dead_asymmetry_thrown_beta,err_dead_asymmetry_type0_beta,err_dead_corrected_asymmetry_type0_beta,dead_correction_misbs,dead_correction_misbs_thrown,err_dead_correction_misbs,err_dead_correction_misbs_thrown,threshold,thickness,dead_precision_type0_corrected_asymmetry,dead_precision_type0_correction,n_KE,n_Type0,n_Type1,weighted_corrected_asymmetry_type0,dead_err_weight,err_dead_weighted_corrected_asymmetry_type0
37,75,675,-0.11727366704271823,-0.11862880179013109,-0.11973655565999075,0.0005089439377798674,0.0005362105000159334,0.0005385578466371128,0.009332589868613458,,0.0014928692682228586,,0,dead_layer_0,-0.0044978565123121265,0.15996302090200543,173933845.0,169458073.0,3034225.0,-0.1166554214322076,0.0001448885147982952,-6.074844871049055e-05
38,100,675,-0.11730734364920482,-0.11867945108858709,-0.11968416449415518,0.0005449637127847226,0.0005743868219446372,0.000576829962032878,0.008468988839549793,,0.0014723906683346678,,0,dead_layer_0,-0.00481960136055466,0.17385672554658124,166440583.0,161883298.0,2898660.0,-0.11640711007776476,0.0001476762884360101,-6.503174954168284e-05
39,125,675,-0.11718710789082541,-0.11858911051879092,-0.11944532377387052,0.0005868899332211852,0.0006223978846535545,0.0006076495179471119,0.007224143501734355,,0.0013752630953647765,,0,dead_layer_0,-0.005087260838251747,0.19037040100803737,158115741.0,153534572.0,2748236.0,-0.11598457273790744,0.00015108054923862113,-6.832247551148408e-05
40,150,675,-0.11709819813689086,-0.11866900338612149,-0.11943553596790438,0.000644020451439504,0.0006846770115245438,0.0006702171052736044,0.006468216189789788,,0.0014399714261534213,,0,dead_layer_0,-0.00561153847422521,0.2226226495685852,149140969.0,144586342.0,2587845.0,-0.11578808536780208,0.0001551217203841462,-7.53903677536432e-05
41,175,675,-0.11720884800628235,-0.1185801676566995,-0.11935259230541069,0.000715180798258937,0.0007628856237783427,0.0007469386942242799,0.006522167013454557,,0.0016090657893932606,,0,dead_layer_0,-0.00625825279364643,0.2467072348920112,139679109.0,135186071.0,2421174.0,-0.11551339447213473,0.00015981945050958378,-8.400478936097288e-05
42,190,675,-0.11699648958795779,-0.11833286576653497,-0.11890991153157676,0.0007975581450804818,0.0008501644088343117,0.0008035891587018975,0.0048755296692446735,,0.0015469796423313465,,0,dead_layer_0,-0.006757966164061125,0.31729468330176475,129873488.0,125478475.0,2250540.0,-0.11488591390851971,0.00016524225049356539,-8.998462102237297e-05
43,200,675,-0.11699648958795779,-0.11833286576653497,-0.11890991153157676,0.0007975581450804818,0.0008501644088343117,0.0008035891587018975,0.0048755296692446735,,0.0015469796423313465,,0,dead_layer_0,-0.006757966164061125,0.31729468330176475,129873488.0,125478475.0,2250540.0,-0.11488591390851971,0.00016524225049356539,-8.998462102237297e-05
44,225,675,-0.11704875215290472,-0.11859323895284503,-0.11921299966496723,0.0009105784978859407,0.0009609160369095728,0.0009025468132655612,0.005225246755845429,,0.001756903218680826,,0,dead_layer_0,-0.007570875792086875,0.3362335408783129,119844111.0,115578680.0,2076908.0,-0.11497003086048471,0.00017147320956546215,-0.0001013289024247608
45,250,675,-0.11707676918893438,-0.1184475643224288,-0.11886972798171758,0.0010524068467191437,0.0011092511009229914,0.001026210216666411,0.0035528678434400295,,0.0017978150324607254,,0,dead_layer_0,-0.008633066080745506,0.5060179865063623,109719521.0,105611598.0,1902404.0,-0.11441921921965471,0.00017861021782845737,-0.00011489440718380444
46,275,675,-0.1174734534844479,-0.1190720600353806,-0.1192989383824173,0.0012101680151090416,0.0012500038418890365,0.0011772549034394573,0.0018994494859425925,,0.001875771478230718,,0,dead_layer_0,-0.009868108797965342,0.9875342788070385,99603956.0,95683340.0,1726971.0,-0.11460308748062059,0.00018680699349350323,-0.00013225836533740148
